response,sentiment,mapping
response,0.0,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Did the intervention meet the urgent needs of affected populations?', 'score': 0.25306999683380127}]"
"""I really enjoyed the training sessions, they were interactive and practical.""",0.5563,"[{'criterion': 'Coherence', 'definition': 'The compatibility of the intervention with other interventions in a country, sector, or institution.', 'matched_question': 'Did the intervention align with other actors’ strategies?', 'score': 0.19597481191158295}]"
"""The program was helpful, but I wish there had been more follow-up support.""",0.6652,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.4109422564506531}]"
"""I felt excluded because the materials were not available in my language.""",-0.34,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Was the design appropriate to the humanitarian context?', 'score': 0.21852868795394897}]"
"""The facilitators were knowledgeable, but the sessions felt rushed.""",0.0,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.354289174079895}]"
"""The community meetings gave me confidence to share my ideas.""",0.6705,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.23918919265270233}]"
"""I struggled to access the online platform, it was confusing.""",-0.34,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Was the design appropriate to the humanitarian context?', 'score': 0.1626739501953125}]"
"""The mentorship component was the most valuable part of the program.""",0.5256,"[{'criterion': 'Connectedness', 'definition': 'Definition not found', 'matched_question': 'Were linkages made to development or resilience programs?', 'score': 0.38665223121643066}]"
"""I appreciated the flexibility, but communication could have been clearer.""",0.431,"[{'criterion': 'Impact', 'definition': 'Positive and negative, primary and secondary long-term effects produced by the intervention.', 'matched_question': 'What changes can be attributed to the intervention?', 'score': 0.2490035891532898}]"
"""The project improved my skills, but I still face challenges applying them at work.""",0.3612,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Was the design appropriate to the humanitarian context?', 'score': 0.20937058329582214}]"
"""I would recommend this program to others, it made a real difference.""",0.3612,"[{'criterion': 'Impact', 'definition': 'Positive and negative, primary and secondary long-term effects produced by the intervention.', 'matched_question': 'What changes can be attributed to the intervention?', 'score': 0.2928057909011841}]"
response,0.0,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Did the intervention meet the urgent needs of affected populations?', 'score': 0.25306999683380127}]"
"""I really enjoyed the training sessions, they were interactive and practical.""",0.5563,"[{'criterion': 'Coherence', 'definition': 'The compatibility of the intervention with other interventions in a country, sector, or institution.', 'matched_question': 'Did the intervention align with other actors’ strategies?', 'score': 0.19597481191158295}]"
"""The program was helpful, but I wish there had been more follow-up support.""",0.6652,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.4109422564506531}]"
"""I felt excluded because the materials were not available in my language.""",-0.34,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Was the design appropriate to the humanitarian context?', 'score': 0.21852868795394897}]"
"""The facilitators were knowledgeable, but the sessions felt rushed.""",0.0,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.354289174079895}]"
"""The community meetings gave me confidence to share my ideas.""",0.6705,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.23918919265270233}]"
"""I struggled to access the online platform, it was confusing.""",-0.34,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Was the design appropriate to the humanitarian context?', 'score': 0.1626739501953125}]"
"""The mentorship component was the most valuable part of the program.""",0.5256,"[{'criterion': 'Connectedness', 'definition': 'Definition not found', 'matched_question': 'Were linkages made to development or resilience programs?', 'score': 0.38665223121643066}]"
"""I appreciated the flexibility, but communication could have been clearer.""",0.431,"[{'criterion': 'Impact', 'definition': 'Positive and negative, primary and secondary long-term effects produced by the intervention.', 'matched_question': 'What changes can be attributed to the intervention?', 'score': 0.2490035891532898}]"
"""The project improved my skills, but I still face challenges applying them at work.""",0.3612,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Was the design appropriate to the humanitarian context?', 'score': 0.20937058329582214}]"
"""I would recommend this program to others, it made a real difference.""",0.3612,"[{'criterion': 'Impact', 'definition': 'Positive and negative, primary and secondary long-term effects produced by the intervention.', 'matched_question': 'What changes can be attributed to the intervention?', 'score': 0.2928057909011841}]"
response,0.0,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Did the intervention meet the urgent needs of affected populations?', 'score': 0.25306999683380127}]"
"""I really enjoyed the training sessions, they were interactive and practical.""",0.5563,"[{'criterion': 'Coherence', 'definition': 'The compatibility of the intervention with other interventions in a country, sector, or institution.', 'matched_question': 'Did the intervention align with other actors’ strategies?', 'score': 0.19597481191158295}]"
"""The program was helpful, but I wish there had been more follow-up support.""",0.6652,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.4109422564506531}]"
"""I felt excluded because the materials were not available in my language.""",-0.34,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Was the design appropriate to the humanitarian context?', 'score': 0.21852868795394897}]"
"""The facilitators were knowledgeable, but the sessions felt rushed.""",0.0,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.354289174079895}]"
"""The community meetings gave me confidence to share my ideas.""",0.6705,"[{'criterion': 'Coverage', 'definition': 'Definition not found', 'matched_question': 'Did the intervention reach all groups in need?', 'score': 0.23918919265270233}]"
"""I struggled to access the online platform, it was confusing.""",-0.34,"[{'criterion': 'Relevance', 'definition': 'The extent to which the intervention objectives are consistent with beneficiaries’ needs, country needs, global priorities, and partners’ policies.', 'matched_question': 'Was the design appropriate to the humanitarian context?', 'score': 0.1626739501953125}]"
"""The mentorship component was the most valuable part of the program.""",0.5256,"[{'criterion': 'Connectedness', 'definition': 'Definition not found', 'matched_question': 'Were linkages made to development or resilience programs?', 'score': 0.38665223121643066}]"
"""I appreciated the flexibility, but communication could have been clearer.""",0.431,"[{'criterion': 'Impact', 'definition': 'Positive and negative, primary and secondary long-term effects produced by the intervention.', 'matched_question': 'What changes can be attributed to the intervention?', 'score': 0.2490035891532898}]"
